ts_start,ts_end,op,bytes,status,latency_ms,error
1763563989.720615,1763563995.427915,upload,47185920,ok,5707,
1763563989.702705,1763563995.438524,upload,47185920,ok,5735,
1763563989.712996,1763563995.445197,upload,47185920,ok,5732,
1763563989.702262,1763563995.4515,upload,47185920,ok,5749,
1763563995.438995,1763564002.740001,upload,47185920,ok,7301,
1763563995.4463518,1763564002.747781,upload,47185920,ok,7301,
1763563995.452086,1763564002.801138,upload,47185920,ok,7349,
1763563995.4286861,1763564003.6618721,upload,47185920,ok,8233,
1763564002.742552,1763564014.215416,upload,47185920,ok,11472,
1763564002.8035588,1763564014.478784,upload,47185920,ok,11675,
1763564003.6622348,1763564014.52278,upload,47185920,ok,10860,
1763564002.748846,1763564014.539891,upload,47185920,ok,11791,
1763564014.2165718,1763564017.6060648,upload,47185920,ok,3389,
1763564014.479321,1763564018.5466921,upload,47185920,ok,4067,
1763564014.523231,1763564018.5708811,upload,47185920,ok,4047,
1763564014.540389,1763564018.611638,upload,47185920,ok,4071,
1763564017.606903,1763564020.700675,upload,47185920,ok,3093,
1763564018.547049,1763564022.587498,upload,47185920,ok,4040,
1763564018.57146,1763564022.769046,upload,47185920,ok,4197,
1763564018.612023,1763564022.826876,upload,47185920,ok,4214,
1763564020.7011552,1763564027.280343,upload,47185920,ok,6579,
1763564022.588236,1763564030.829243,upload,47185920,ok,8241,
1763564022.769554,1763564031.734591,upload,47185920,ok,8965,
1763564022.827221,1763564031.755884,upload,47185920,ok,8928,
1763564027.280822,1763564034.129144,upload,47185920,ok,6848,
1763564030.830566,1763564035.8503308,upload,47185920,ok,5019,
1763564031.756418,1763564036.9602208,upload,47185920,ok,5203,
1763564031.735401,1763564037.002465,upload,47185920,ok,5267,
1763564034.1352372,1763564039.004551,upload,47185920,ok,4869,
1763564035.850785,1763564040.0663738,upload,47185920,ok,4215,
1763564036.960979,1763564041.773665,upload,47185920,ok,4812,
1763564037.00295,1763564041.786108,upload,47185920,ok,4783,
1763564039.0051079,1763564043.565229,upload,47185920,ok,4560,
1763564040.0668669,1763564045.284575,upload,47185920,ok,5217,
1763564041.7775319,1763564066.178764,upload,471859200,ok,24401,
1763564041.7882261,1763564066.232355,upload,471859200,ok,24444,
1763564043.565994,1763564068.7648482,upload,471859200,ok,25198,
1763564045.285016,1763564068.800496,upload,471859200,ok,23515,
1763564066.17968,1763564083.195564,upload,471859200,ok,17015,
1763564066.232942,1763564103.574626,upload,1932735283,ok,37341,
1763564104.08144,1763564110.211188,download,47185920,ok,6129,
1763564104.089584,1763564110.283774,download,47185920,ok,6194,
1763564104.094502,1763564110.302149,download,47185920,ok,6207,
1763564104.082232,1763564110.3528588,download,47185920,ok,6270,
1763564110.211937,1763564113.358169,download,47185920,ok,3146,
1763564110.302581,1763564113.371451,download,47185920,ok,3068,
1763564110.286988,1763564113.401471,download,47185920,ok,3114,
1763564110.3532119,1763564113.615684,download,47185920,ok,3262,
1763564113.371779,1763564116.3552089,download,47185920,ok,2983,
1763564113.3588648,1763564116.3853881,download,47185920,ok,3026,
1763564113.402478,1763564116.520975,download,47185920,ok,3118,
1763564113.616097,1763564116.713462,download,47185920,ok,3097,
1763564116.386005,1763564119.15835,download,47185920,ok,2772,
1763564116.356498,1763564119.159055,download,47185920,ok,2802,
1763564116.521445,1763564119.670284,download,47185920,ok,3148,
1763564116.713738,1763564119.813874,download,47185920,ok,3100,
1763564119.163075,1763564122.3296819,download,47185920,ok,3166,
1763564119.159286,1763564122.630672,download,47185920,ok,3471,
1763564119.6717482,1763564123.378599,download,47185920,ok,3706,
1763564119.814602,1763564123.4181461,download,47185920,ok,3603,
1763564122.330187,1763564125.029983,download,47185920,ok,2699,
1763564122.631205,1763564125.447028,download,47185920,ok,2815,
1763564123.378901,1763564126.285726,download,47185920,ok,2906,
1763564123.419075,1763564126.372067,download,47185920,ok,2952,
1763564125.030731,1763564128.293222,download,47185920,ok,3262,
1763564125.447417,1763564128.703276,download,47185920,ok,3255,
1763564126.286319,1763564129.495073,download,47185920,ok,3208,
1763564126.372555,1763564129.7459462,download,47185920,ok,3373,
1763564128.293679,1763564131.297478,download,47185920,ok,3003,
1763564128.7037802,1763564131.813148,download,47185920,ok,3109,
1763564129.495625,1763564132.450882,download,47185920,ok,2955,
1763564129.7463539,1763564132.883051,download,47185920,ok,3136,
1763564131.298432,1763564134.545229,download,47185920,ok,3246,
1763564131.8135428,1763564135.318491,download,47185920,ok,3504,
1763564132.451345,1763564141.4906108,download,471859200,ok,9039,
1763564132.884444,1763564143.5690181,download,471859200,ok,10684,
1763564134.545706,1763564145.867263,download,471859200,ok,11321,
1763564135.3188758,1763564146.269585,download,471859200,ok,10950,
1763564141.492608,1763564149.361514,download,471859200,ok,7868,
1763564143.5693922,1763564168.851043,download,1932735283,ok,25281,
